text;emotion
""why is this guy talking about oppenheimer, john wick 4 and the eras tour movie all being in the same category like itâ€™s a good thing that makes sense"";-1
no i meant like barbie as in the barbie movies the animated ones ğŸ™ i havenâ€™t seen oppenheimer but good for him oppening his heimer;-1
Oppenheimer was a good movie but I feel like the way it jumps around so much makes it hard to really build up scenes the way I wish they had;1
Finally watching Oppenheimer.   And JESUS the Josh Hartnett jump scare was NOT expected but good LORD did that man age like fine wine.   #Oppenheimer #awardsseason #imwaybehindinscreenings;-1
""ONE WEEK till the 29th Annual Critics Choice Awards LIVE Sunday, January 14th, on The CW.  If I had a choice, I feel like the â€œBarbieâ€ table would be a good time during the show. #killersoftheflowermoon #barbiethemovie #oppenheimer #criticschoice #criticschoiceawards"";-1
Oppenheimer is such a good representation of US politics cause itâ€™s like yeah itâ€™s totally fine if you want to build a bomb that might destroy all humanity but you even think about getting teachers to unionize and weâ€™ll fucking kill you;-1
Oppenheimer more like this film is so good I really enjoyed watching it-enheimer;1
Oppenheimer  Very good but only really started being a movie like halfway through. Didn't know the heimer be fucking like that damn.;-1
""REWATCH-#Oppenheimer. My 11yo sonâ€™s review: â€œItâ€™s one of Nolanâ€™s best, though I didnâ€™t like the last hour of politics.â€ Iâ€™m still impressed at how heâ€™s fashioned a biopic to feel like a tense action thriller. That music is insanely good. Seriously good film."";1
""I feel like Dan Dehaan is a bit overlooked in Oppenheimer, he is so good in it!!!"";-1
""""""...â€œOppenheimerâ€ was...the riskiest film we have made...I didnâ€™t feel there was a guaranteed audience...Not only did it feel like it was a risky film to make, it felt like the stakes had never been higher. So the fact we had such a good summer was more gratifying than anything."""""";-1
""Finally got around to watching Oppenheimer and goddamn it was so good, especially the scoring. Was expecting to like it because Iâ€™m such a history nerd but genuinely didnâ€™t expect to be so thoroughly engrossed."";1
If you think this is what good parenting looks like then I highly recommend you get a vasectomy;-1
no earlier i was like this man shouldnâ€™t be third he hasnâ€™t been in anything but oppenheimerâ€¦ then i looked and i was humbled hsndhdhdh good for him i guess ğŸ˜­;-1
RDJ is so wholesome. I wish he gets more and more good roles like in Oppenheimer.;-1
""#Oppenheimer producer Emma Thomas says it was â€œthe riskiest film weâ€™ve made.â€  â€œNot only did it feel like it was a risky film to make, it felt like the stakes had never been higher. So the fact we had such a good summer was more gratifying than anything.â€  (Source: https://variety.com/2024/awards/actors/oppenheimer-producer-emma-thomas-misconceptions-about-christopher-nolan-risks-for-film-1235860273/)"";-1
""I like how he went for small Irish indie after Oppenheimer - film adaptation of Claire Keeganâ€™s Small Things Like These, that is already in post-production. But Iâ€™m sure he will do big Hollywood movies too, if the script is good. Marvel - not his kind of thing."";-1
""hello #filmtwt , i am gifting another two 1 year subscription of @letterboxd patron & pro  rules: -follow me  -reply with your letterboxd username  -show me your favorites and recent activity  - you have to be active on letterbox -retweet & like this tweet   good luckğŸ’"";-1
You watching barbie and Oppenheimer 40 times against Jurassic park avengers age of ultron and good will huntingğŸ˜­like WHOS GONNA WINNN;-1
why did cillian enter like einstein in that one scene in oppenheimer;-1
Finally watched Oppenheimer and itâ€™s good like everyone says but I am over these movies being 3 hours. The last 40min was an absolute chore to get through.;1
""lol, maybe they are good, for some reason the opening scene of Oppenheimer just makes the movie look so pretentious,   and then with the Flower Moon one,   I feel like Iâ€™m supposed to be impressed w the cast, but thatâ€™s itâ€¦the whole time Iâ€™m wondering what the heck Iâ€™m watchingâ€¦and for what reasonâ€¦?"";-1
""Bro, people did not like TENET (I am one of them), criticized the hell out of it, and Nolan said alright bet and made OPPENHEIMER. Criticism isn't bad. It's necessary. """"Good"""" Criticism btw."";-1
""there's a bittersweet feeling inside of me like i know awards are just the cherry on top of one's body of work but why did it take so long for him to receive his flowers he's literally one of the most talented actors in the world, i just hope he gets good projects from now on"";-1
Oppenheimer probably wouldnâ€™t get made since the estate doesnâ€™t like him being depicted as anything but a paragon of good and virtue;-1
""Apart from how good looking he is , I like how confident he speaks . ğŸ¤ŒğŸ¾"";-1
""Finally watched Oppenheimer last evening and it was good.  I think youâ€™ll like it, John, if you have not seen it yet."";1
""Good to see another media outlet covering this. But nothing so far from outlets like the New York Times, Washington Post, Associated Press, NPR etc. This is irresponsible, as the President is speaking about the pandemic in past tense without a fact-check.  https://www.salon.com/2024/01/04/leader-says-19-is-still-a-pandemic/"";-1
""ron, here i have to disagree;-1";" good people do not commit atrocities. only evil people, dressed to look like good people, commit atrocities."
His hair looked so good like this idc;-1
The Upanishads are a good start... I could link you to the English translation I read if you like.  Oppenheimer studied Sanskrit so he could get deeper into these texts lol.  I'm starting to consider doing the same.. ğŸ¤”;-1
""nah man i just saw someone post all of Oppenheimer, like all three hours, and in insanely good quality"";1
Will it be good Cinema like an Oppenheimer or will it be like Barbie?;-1
y'all get one good live action adaptation and already act like mcu stans;-1
""@BestBuy good job,After choosing to remove 4k Blu-rayâ€™s and Discs in store and online  like #Oppenheimer Iâ€™m done shopping at your stores. Good luck with your baffling decisions.  #BestBuy #dead"";-1
""Honestly Oppenheimer was really really good, like, artistry, very well told story, clever writing and editing But its not my kind of movie Crazy how much they crammed into three hours 10/10"";1
""I watched Barbie in theaters instead of Oppenheimer and I enjoyed it. I think it was well-made, very competently acted and had a good pace. The whiny men who complained about it boiled down to """"WAHH! I don't like feminism in my movies!"""""";-1
""Coach Thibodeau describes newcomer Knicks PF Precious Achiuwa as â€œa good young playerâ€, â€œversatileâ€, â€œable to play multiple positionsâ€, and said that â€œwe like the fact that he can improve, heâ€™s young, so his development will continue.â€"";-1
""I view this, which are similar to my thoughts on science - akin to a religion. I have great respect for science, but I don't do almost any calculations myself. I use my judgment of who is a good scientist and how well that science is respected to form my views.  Much like we did with priests before science.  It's a far superior system to religion in most practical senses.. but itn't totally superior to philosophy IMO. There are limits to what it can solve, and the lack of recognition of how far we can get with a science/engineering view needs reconciliation with philosophy and values/morals.   Which is what spawned my article/thread :)"";-1
I sense the same pain from people now trying to watch Oppenheimer. Like its good but I fully understand if you quit after 20mins ğŸ¤£;-1
""As I lie in bed sick, this seems like a good time to list my top 5s from 2023.  Top 5 Favorite Movies:  5) Guardians of the Galaxy Vol. 3 4) Joy Ride 3) Oppenheimer 2) Suzume 1) Godzilla Minus One"";1
just watched the batman a second time since cinema and itâ€™s kinda drawn out for no good reason like itâ€™s the same time as oppenheimer ish and i watched that just before and it flew by the batman drags a little;-1
Oppenheimer was good but it felt like a movie you would watch in history class while taking notes ğŸ˜­ like i was confused 60% of the time but the movie was good;1
This list was made up of films I really liked mixed with films that are just objectively very good. Also I considered which movies Im going to watch again and again like Scream VI and movies Ill only watch once or twice like Oppenheimer;-1
""It was literally really good??? I think it was the best movies made this year, idk why u are so rudely defensive about it. People can like or hate things, u seemingly hate it but i personally found it a very good and well paced movie. The movie was showing Oppenheimerâ€™s POV btw."";-1
""universal: hey guys heres some community driven movies for YOU the fans (fnaf and mario)! were also gonna drop some more """"film"""" movies for the people who like to analyse and review (oppenheimer) :)  *starts doing really fucking good*  disney: (theyve been going off brand recog)"";-1
""I really need to watch more movies from last year, In 2022 I had like 5 movies that I really loved and were all fighting for the top spot imo.  This year I have Oppenheimer, Godzilla minus 1 and maybe ATSV. I've seen like no good 2023 movies"";1
I watch good movies like Oppenheimer on my big ultra  hd TV with blue tooth speakers from my comfortable recliner on streaming these days;-1
It sucks so much because there are still a good amount of people who would like to purchase physical media. Oppenheimer is a good example of people still want to buy physical media. The DVDs sold out in a day!;-1
""i donâ€™t even mind people who have the genetic top 4, like 2001. oppenheimer, whiplash and TDK, itâ€™s just when theyâ€™re close minded is when it sucks. like yeah those movies are good but why donâ€™t you watch like a Lynch film or something. and sometimes they will go ahead and watch"";-1
DAWG this Oppenheimer is good but the beef that scientist be having with each other is like reality TV level ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­;1
""pretty good time for biopics like Oppenheimer, Ferrari and Priscilla!"";1
""Emily Blunt on working with Christopher Nolan in #Oppenheimer:  â€œHe has very expressive hair. For some reason when heâ€™s happy, I feel like his hair kinda vibrates a bit. When heâ€™s thrilled with a take, his hair will dance and he will say: right good, happy? moving on!â€"";-1
""Top 5 films of '23, hmmm...  1. Spider-Man: Across the Spiderverse 2. Godzilla -1 3. Oppenheimer 4. Barbie 5. The Holdovers  I said Asteroid City was mid but I still enjoyed it. I think I just expected more, like with Boy and Heron. KOFlower Moon was also good."";1
""You replied to multiple people saying you're not going to watch any movies. Modern cinema is dead. Just games and classics now. Then say you're looking forward to a 2023 monster movie. Hyperbolic much? Maybe you didn't like Oppenheimer, fine, but good movies are still being made."";-1
""For perspective, the profit Guardians 3 made was enough to easily fund 8 of the 10 best picture favorites this year (incl. Oppenheimer). Movies like that don't get made unless they have other movies that generate a ridiculous amount of profit. That's what pays for the good films."";-1
""I like ranking stuff so here's my favourite movies of 2023: 1) Talk to Me 2) The Holdovers 3) Oppenheimer 4) When Evil Lurks 5) Guardians 3 6) A Good Person 7) Scream 6 8) Saw X 9) Thanksgiving  Didn't see a lot of the """"good"""" ones though."";1
""26. Oppenheimer   It was good but despite having nuance, I did feel it teetered too closely to being one-sided. Brilliant sound design. Also felt very obviously like a movie *made* to win awards."";-1
""I donâ€™t get why Oppenheimer was viewed so favourably. I found it to be one of the worst movies I had ever seen. Something no one talks about is how fake and unrelatable dialogue is.  Only good part was the test explosion: suddenly, you felt like you were actually there, because no one had badly written dialogue and the atmosphere came across well. Rest of the movie was terrible."";0
I watch a lot of British and Australian tv. Mostly just good fun and interesting (I like the police procedurals). Last two movies I watched in the theatre was Oppenheimer and Top Gun: Maverick. I used to go to movies a lot but theyâ€™re mostly crap nowâ€¦ ğŸ¤·â€â™€ï¸;-1
""This feels like a list created for contrarian and content purposes. I could understand if a lot of these toed the line between good and bad, but when you're throwing stuff like JW4, Oppenheimer, and Killers on her, it comes off as disingenuous."";-1
I donâ€™t like history and I thought Oppenheimer was pretty good. I agree it was a little long but outside of that it was great;1
oppenheimer is actually one of the best films i've ever seen. it's not overrated at all like it's just so good;1
I think youâ€™ll like it - itâ€™s actually more about the man & women in his life than the cars   Itâ€™s not Oppenheimer good (but shorter) but I preferred it to Napoleon (but some of the battles were amazing);-1
watch something good like Oppenheimer;1
""â€œHappy New Year and Good Health!â€ Paul, as they say here;-1";" you are leading the fight of a life for a habitable planet:our opponents are + powerful,+rich,+ dangerous too, itâ€™s true, but we, we can never say like Oppenheimer: â€œNow I am become Death, the destroyer of worldsâ€"
i loved oppenheimer like i'm sorry but it was just so good!;1
""[Oppenheimer (Movie Theatre)]  Okay I watched this way earlier in the year and I totally forgot to include it my bad. It was crazy and good, worth the hype. Didnâ€™t think I would like it as much as I did but itâ€™s pretty kino stuff."";-1
""Let's talk films, movies, the pictures! Here are my favorite 4 of 2023. Oppenheimer takes the came as a culmination of Nolan's career. For the record I don't even like Nolan but this film vibrates. The other three are so good you should go see them ASAP"";-1
""Back again for 2023! Again fell well short of my goal of seeing 100 movies but some good stuff nonetheless: Ikiru, Some Like It Hot, Oppenheimer, Blade Runner 2049, Say Anything, The Apartment, Passion of Joan of Arc, Barbie, Asteroid City, A Beautiful Mind, My Neighbor Totoro"";-1
""Been a good year hasn't it the old telly film and games?  Barbie, Oppenheimer, Across the Spider-Verse, John Wick 4, MI: Dead Reckoning, Alan Wake 2, From, The Last of Us, Succession. All top, top drawer."";-1
""I think that the communist politics are a major red-herring because I had to watch twice to come to my current view of the film. The first time around, I thought the direction and plot were pretty good, but was also too disgusted at Oppenheimerâ€™s communism to â€œlikeâ€ the movie."";-1
""Honestly: What do you, people, find so good about Oppenheimer? There should be an â€˜American onlyâ€™ tag in films like this, that doesnâ€™t have ANY MEANING AT ALL for the rest of the world. Pretty much like â€˜The World Seriesâ€™ of American Baseball. Highly overrated film!"";0
Fuck ya go vue chesite oaks get fucked over like Oppenheimer release turn escalators ofc dumb stupid fucks init Snyder see y I'm not looking good socials but I'm really nice can't cope this barrage shit of jealousy;-1
""Not a person I trust less to give good insight to film than Ben Shapiro, a guy so reactionary he went out and bought a bunch of Barbie toys to burn because he thought the movie was â€œtoo wokeâ€ yet so dumb to enjoy Oppenheimer which actively portrays guys like him as monsters"";-1
""hmmmmm. the batmans donâ€™t feel super unique but i still like them. the action scenes are so good! but yes, he is the oppenheimer of the flavorless superhero movie"";-1
next up Oppenheimer!! I couldnâ€™t go to the premiere so I went to see it in the best format possible at the science museum!! kinda fitting tbh but also itâ€™s really good ğŸ˜Š my friends didnâ€™t like it but I was so invested that I didnâ€™t realise that the 3hrs runtime was done;-1
Hi Gurdeepâ€¦ that sounds like a great plan. We will stay in & watch something as well. We watched Oppenheimer this week & it was really good! Have a lovely 2024!!;1
Oppenheimer was good but it felt like an incredibly long trailer to me;1
""Oppenheimer was no good.  Just overhyped. Everyone in the hall was like, should have gone for Barbie insteadğŸ¤£ No one was recommending it.  Not great."";0
""yes, Oppenheimer was physicist and i want to watch a movie about him. it's good, long and suspensefulğŸ˜ºHolland had a queen before the king, a lady, Beatrix.What I meant was,I don't like the way history is rewritten to suit current trends. Netflix """"likes"""" to subtly rewrite reality"";-1
At times it was. You gotta understand I'm usually intoxicated when I watch wrestling witch makes me like it more and also I have a bias where if I give something my time I'm more inclined to like it.      I just walk out of movies if they aren't good lol. Oppenheimer.;-1
""I'm especially sick of seeing this trend of people acting like they're better people for having seen Godzilla and not Oppenheimer.   They're both good movies, and both deserve praise."";1
""A lot of the show was actually good from an entertainment perspective, I just know that nearly everyone who watches it is going to think everything in the show is historically accurate and have the wrong picture about certain things. It's making me rethink if I like Oppenheimer"";-1
Top 5 movies this year 1. Anatomy of a fall 2. Oppenheimer 3. Monster 4. Dumb money 5. Suzume/Talk to me  Yet to see the holdovers or blackberry. Killers of flower moon was good but I just couldnâ€™t like it as much as the others.;1
""I only went once, and that was for Oppenheimer so itâ€™s obviously my number 1. But it would likely be anyway. I bought it on Blu-ray, too, cos itâ€™s that good. I fancy that Bill Nighy one, Living (or something like that) and thereâ€™s places here showing in English this weekend"";1
""Barbie (2023)  I really loved this. I saw it twice this year, once with my friends and once with my family. I saw this after Oppenheimer and, while I expected to like it more, I didn't expect it to be as good of a satire as it is. Ryan Gosling NEEDS to be in more comedies.   8/10"";-1
SO MANY! I'm totally overwhelming myself with this decision. It's too much! TOO MUCH! ğŸ˜‚ğŸ¤£ Right now I'm sitting here like do I really want to first time watch Oppenheimer as my pick. This isn't a feel good film.;0
""Thereâ€™s bad Oscar bait and thereâ€™s good Oscar bait. Still havenâ€™t seen Meastro. But like Oppenheimer and Poor Things are great Oscar bait this year, IMO. She Said was awful Oscar bait. Itâ€™s a useless critical term."";-1
is oppenheimer really that good or are people being ott about it like they were about barbie;-1
""Good, every nolan movie is a great movie to me Oppenheimer is not my fav of his too but it was really good written and was a spectacle as always, Barbie was fun but I loved Lady Bird more. didn't much like MI DR P1 it felt very convoluted and Fallout was way better"";-1
6. Oppenheimer is really good. Do I need to say more? You all saw this. Murphy embodies the role and the breakneck editing plays like poetry that whisks you along and keeps you glued to the screen. The scene with Blunt and Pugh in the interrogation room had my jaw on the floor;1
I feel like 2023 has been so good that any one of my top 5 could be my number 1 film of the year:  Asteroid City Godzilla: Minus One John Wick: Chapter 4 Killers of the Flower Moon Oppenheimer;1
""baby i donâ€™t think you understand the amount of artistry, creativity and word u have to put on a good mv without relying on green screens like taylor has been doing since reputation. this is like comparing marvel movies to oppenheimer"";-1
Looks like the boys over at Deutsche Bank and Oppenheimer did a pretty good job.;-1
""The problem with Oppenheimer is it has JR saying something like """"[Soviet] neutrality wasn't good enough""""  Soviets weren't neutral. They were Hitler's ally, right up until he stabbed them in the back. At which point they switched sides, involuntarily as @DarthPutinKGB put it"";-1
I never watched it tbh I count that as a flex lmao but I remember you saying Oppenheimer wasnâ€™t good smth like?;-1
""I get it. I guess itâ€™s like with Oppenheimer, technically speaking that movie is pretty much a masterpiece but I could never sit through it againâ€¦ or itâ€™s like reading a really good book but itâ€™s just not one of those that Iâ€™ll likely revisit."";-1
""oppenheimer did not feel like it was 3 hrs long, thatâ€™s how u know it was good"";1
Oppenheimer is like film of the decade tier it's so fucking good;1
""Jokes apart #Maestro is an average watch..there were many good Biopics made in Hollywood like Bohemian Rhapsody, Oppenheimer,Wolf of Wall Street,Moneyball,Ford vs Ferrari and even Air... sadly it doesn't make it's place in that elite list."";-1
@JohnnyBTampa @JohnnyBshow the hold overs were about some kids who didn't go home for the holidays. Yeah didn't see it. Godzilla was born from the bomb and it's probably good if you like Godzilla old school. I know why Oppenheimer is no1 it was a mistake to order.;-1
When Hollywood releases good movies like Oppenheimer and Barbie people go to the theaters.ğŸ¿ğŸ¦ğŸŸï¸ğŸ¥ Just seen migration it was a great movie for the kids they really enjoyed it.;1
No movie is perfect cuz yâ€™all were blabbering for weeks about how good Barbie and Oppenheimer was when in reality Oppenheimer was boring af and Barbie plays like an episode of SNL with the same characters.;-1
You and I could make an entertaining review show based on our disagreements. I felt like Oppenheimer was good but not really my cup of tea.;1
